Triple,Anomaly Description,Correction Suggestion
2. Morta -> bornOnDate -> 12##-##-##,Incomplete year,Provide full numeric year.
3. Nennius -> bornOnDate -> 8##-##-##,Incomplete year,Provide full numeric year.
4. Donald_III_of_Scotland -> bornOnDate -> 103#-##-##,Incomplete year,Provide full numeric year.
5. Afonso_de_Albuquerque -> bornOnDate -> 1453-##-##,Incomplete date,Provide complete date.
6. Ishaq_Shahryar -> bornOnDate -> 1936-##-##,Incomplete date,Provide complete date.
7. Joseph_Hall_(bishop) -> bornOnDate -> 1574-##-##,Incomplete date,Provide complete date.
8. Elias_Boudinot_(Cherokee) -> bornOnDate -> 1802-##-##,Incomplete date,Provide complete date.
9. Nat_Hentoff -> bornOnDate -> 1925-##-##,Incomplete date,Provide complete date.
10. Sushil_Kumarji -> bornOnDate -> 1926-##-##,Incomplete date,Provide complete date.
11. Zakhar_Chernyshyov -> bornOnDate -> 1722-##-##,Incomplete date,Provide complete date.
12. Pernilla_Wiberg -> bornOnDate -> 1970-##-##,Incomplete date,Provide complete date.
1. Bayezid_II -> bornOnDate -> 144#-##-##,Invalid year character,Correct to a valid year.
2. Valdemar_IV_of_Denmark -> bornOnDate -> 1320-##-##,Missing month and day,Fill with estimated values.
3. Susanna_Verbruggen -> bornOnDate -> 1667-##-##,Missing month and day,Fill with estimated values.
4. Lu_Muzhen -> bornOnDate -> 1867-##-##,Missing month and day,Fill with estimated values.
5. Emil_Seidel -> bornOnDate -> 1864-##-##,Missing month and day,Fill with estimated values.
6. Robbie_Fowler -> bornOnDate -> 1975-##-##,Missing month and day,Fill with estimated values.
7. Emperor_Go-Komatsu -> bornOnDate -> 1377-##-##,Missing month and day,Fill with estimated values.
1. Edmund_of_Scotland -> bornOnDate -> 107#-##-##,Invalid date format,Correct to a complete date.
2. Haakon_V_of_Norway -> bornOnDate -> 1280-##-##,Partial date,Specify complete birth date.
3. Désiré_Nisard -> bornOnDate -> 1806-##-##,Incomplete birth date,Update with full date.
Mayoralty_of_Michael_Bloomberg -> bornIn -> Boston,_Massachusetts,"Mayoralty is not a birth entity, Use actual person"
Cadwallon_ap_Cadfan -> bornOnDate -> 5##-##-##,Invalid century format,Use full year format.
Pocahontas -> bornOnDate -> 159#-##-##,Invalid century format,Use full year format.
Esau -> bornOnDate -> 174#-##-##,Invalid century format,Use full year format.
Hidetoshi_Nakata -> bornOnDate -> 1977-##-##,Incomplete birth date,Add missing month and day.
Fibonacci -> bornOnDate -> 1170-##-##,Incomplete birth date,Add missing month and day.
RBX -> bornOnDate -> 1967-##-##,Incomplete birth date,Add missing month and day.
Kujō_Yoritsune -> bornOnDate -> 1218-##-##,Incomplete birth date,Add missing month and day.
Dell_Hymes -> bornOnDate -> 1927-##-##,Incomplete birth date,Add missing month and day.
Archie_Bunker -> bornOnDate -> 1924-##-##,Incomplete birth date,Add missing month and day.
Christian_IV_of_Denmark -> bornOnDate -> 1577-##-##,Incomplete birth date,Add missing month and day.
Jerzy_Dudek -> bornOnDate -> 1973-##-##,Incomplete birth date,Add missing month and day.
Praise-God_Barebone -> bornOnDate -> 159#-##-##,Invalid year format,Correct the year format.
Christian_II_of_Denmark -> bornOnDate -> 1481-##-##,Incomplete date information,Specify full date
Sinan -> bornOnDate -> 1489-##-##,Incomplete date information,Specify full date
Diamond_Bessie -> bornOnDate -> 1854-##-##,Incomplete date information,Specify full date
Murk_van_Phelsum -> bornOnDate -> 1730-##-##,Incomplete date information,Specify full date
Kiyoshi_Kawakami -> bornOnDate -> 1873-##-##,Incomplete date information,Specify full date
Æthelthryth -> bornOnDate -> 636-##-##,Incomplete date information,Specify full date
1. Semyon_Lavochkin -> bornOnDate -> 1900-##-##,Incomplete birth date,Specify complete date.
2. Wolfram_von_Eschenbach -> bornOnDate -> 1170-##-##,Incomplete birth date,Specify complete date.
3. Brigham_Young -> bornOnDate -> 1801-##-##,Incomplete birth date,Specify complete date.
4. Kaokor_Galaxy -> bornOnDate -> 1959-##-##,Incomplete birth date,Specify complete date.
5. D%27Artagnan -> bornOnDate -> 161#-##-##,Incomplete birth date,Specify complete date.
6. Ha_Ji-won -> bornOnDate -> 1979-##-##,Incomplete birth date,Specify complete date.
7. Amalric_I_of_Jerusalem -> bornOnDate -> 1136-##-##,Incomplete birth date,Specify complete date.
8. Amalia_of_Solms-Braunfels -> bornOnDate -> 1602-##-##,Incomplete birth date,Specify complete date.
9. Gruffydd_ap_Cynan -> bornOnDate -> 105#-##-##,Incomplete birth date,Specify complete date.
10. Barnabe_Rich -> bornOnDate -> 154#-##-##,Incomplete birth date,Specify complete date.
11. Tae_Ashida -> bornOnDate -> 1964-##-##,Incomplete birth date,Specify complete date.
12. Ronan_Keating -> bornOnDate -> 1977-##-##,Incomplete birth date,Specify complete date.
Bizzy_Bone -> bornOnDate -> 1976-##-##,Incomplete date,Specify complete birth date.
Vytas_Brenner -> bornOnDate -> 1946-##-##,Incomplete date,Specify complete birth date.
Gyula_Andrássy -> bornOnDate -> 1823-##-##,Incomplete date,Specify complete birth date.
Stewart_Culin -> bornOnDate -> 1858-##-##,Incomplete date,Specify complete birth date.
Mary_I_of_Scotland -> bornOnDate -> 1542-##-##,Incomplete date,Specify complete birth date.
Chloe_Jones -> bornOnDate -> 1975-##-##,Incomplete date,Specify complete birth date.
Steven_Norris -> bornOnDate -> 1945-##-##,Missing month and day,Add complete date.
Sangoulé_Lamizana -> bornOnDate -> 1916-##-##,Missing month and day,Add complete date.
Demetrius_Chalcondyles -> bornOnDate -> 1423-##-##,Missing month and day,Add complete date.
Younis_Khan -> bornOnDate -> 1977-##-##,Missing month and day,Add complete date.
Mitsou -> bornOnDate -> 1970-##-##,Missing month and day,Add complete date.
Caesarion -> bornOnDate -> 47-##-##,Missing month and day,Add complete date.
Emperor_Go-En%27yū -> bornOnDate -> 1359-##-##,Invalid character in entity name,Correct entity syntax.
Terminato_X -> bornOnDate -> 1966-##-##,Missing month and day,Add complete date.
Barbara_Schurz -> bornOnDate -> 1973-##-##,Missing month and day,Add complete date.
Selim_II -> bornOnDate -> 1524-##-##,Missing month and day,Add complete date.
Turlough_Luineach_O%27Neill -> bornOnDate -> 1532-##-##,Invalid character in entity name,Correct entity syntax.
1. Solon_Borland -> bornOnDate -> 1811-##-##,Incomplete date,Provide full birthdate.
2. Iannis_Xenakis -> bornOnDate -> 1922-##-##,Incomplete date,Provide full birthdate.
3. Willebrord_Snellius -> bornOnDate -> 1580-##-##,Incomplete date,Provide full birthdate.
4. Isidra_Vega -> bornOnDate -> 1979-##-##,Incomplete date,Provide full birthdate.
5. Saqlain_Mushtaq -> bornOnDate -> 1976-##-##,Incomplete date,Provide full birthdate.
6. Chuck_Knipp -> bornOnDate -> 1961-##-##,Incomplete date,Provide full birthdate.
7. Armand_Gensonné -> bornOnDate -> 1758-##-##,Incomplete date,Provide full birthdate.
8. Knute_Rockne -> bornOnDate -> 1888-##-##,Incomplete date,Provide full birthdate.
9. Edmond_Rostand -> bornOnDate -> 1868-##-##,Incomplete date,Provide full birthdate.
10. Ōe_no_Hiromoto -> bornOnDate -> 1148-##-##,Incomplete date,Provide full birthdate.
11. Baltimore_Plot -> bornIn -> Corsica,Events can't be born,"Change predicate to ""occurredIn""."
1. Murder_of_James_Bulger -> bornOnDate -> 1990-03-16,Event can't have birthdate,Remove triple.
1. Miantonomoh -> bornOnDate -> 156#-##-##,Invalid date format,Use complete date.
2. Man_o%27_War -> bornOnDate -> 1917-##-##,Incomplete date,Use complete date.
3. M_S_Banga -> bornOnDate -> 1954-##-##,Incomplete date,Use complete date.
4. Valdemar_I_of_Denmark -> bornOnDate -> 1131-##-##,Incomplete date,Use complete date.
5. Don_Domanski -> bornOnDate -> 1950-##-##,Incomplete date,Use complete date.
6. Lyra_Belacqua -> bornOnDate -> 1996-##-##,Incomplete date,Use complete date.
7. Tjalling_Koopmans -> bornIn -> %27s-Graveland,Encoding error in place name,Correct encoding.
8. Sicilian_Defence -> bornOnDate -> 1594-##-##,Object is not a person,Remove triple.
9. Narseh -> bornOnDate -> 2##-##-##,Invalid date format,Use complete date.
- Layzie_Bone -> bornOnDate -> 1975-##-##,Incomplete date,Fill missing date parts.
- Dafydd_ap_Gruffydd -> bornOnDate -> 1238-##-##,Incomplete date,Fill missing date parts.
- Morey_Amsterdam -> bornOnDate -> 1908-##-##,Incomplete date,Fill missing date parts.
- Queen_Pen -> bornOnDate -> 1973-##-##,Incomplete date,Fill missing date parts.
- Adelaide_Hoodless -> bornOnDate -> 1858-##-##,Incomplete date,Fill missing date parts.
- Cacamatzin -> bornOnDate -> 1483-##-##,Incomplete date,Fill missing date parts.
- Pedro_Alcázar -> bornOnDate -> 1975-##-##,Incomplete date,Fill missing date parts.
- Eben_Moglen -> bornOnDate -> 1958-##-##,Incomplete date,Fill missing date parts.
- Dodo_zu_Innhausen_und_Knyphausen -> bornOnDate -> 1583-##-##,Incomplete date,Fill missing date parts.
Odalys_García -> bornOnDate -> 1975-##-##,Incomplete date information,Add specific month and day.
George_Sandys -> bornOnDate -> 1578-##-##,Incomplete date information,Add specific month and day.
Eleoncio_Mercedes -> bornOnDate -> 1957-##-##,Incomplete date information,Add specific month and day.
Titian -> bornOnDate -> 1485-##-##,Incomplete date information,Add specific month and day.
Tivadar_Puskás -> bornOnDate -> 1844-##-##,Incomplete date information,Add specific month and day.
Sister_Parish -> bornOnDate -> 1910-##-##,Incomplete date information,Add specific month and day.
Kiyoshi_Atsumi -> bornOnDate -> 1928-##-##,Incomplete date information,Add specific month and day.
Maaouya_Ould_Sid%27Ahmed_Taya -> bornOnDate -> 1941-##-##,Incomplete date information,Add specific month and day.
Augustinas_Voldemaras -> bornOnDate -> 1883-##-##,Incomplete date information,Add specific month and day.
Karol_Borsuk -> bornOnDate -> 1905-##-##,Incomplete date information,Add specific month and day.
Gurcharan_Das -> bornOnDate -> 1946-##-##,Incomplete date information,Add specific month and day.
- Wace -> bornOnDate -> 111#-##-##,Invalid year format,Correct the year digit.
- Seneca_the_Elder -> bornOnDate -> 54-##-##,Insufficient year digits,Provide full year.
Ekaterina_Zelyonaya -> actedIn -> The_Mystery_of_the_Third_Planet,Film released after individual's death,Verify dates or correct relation
Trost_%26_Trost -> bornIn -> Toledo,Entity not a person,Correct relation to headquarters
Latvian_Gambit -> bornOnDate -> 16##-##-##,Chess opening not a person,Remove or reclassify entity
Ma_Su -> bornOnDate -> 190-##-##,Invalid date format,Correct date format.
Natalie_Clein -> bornOnDate -> 1977-##-##,Incomplete date,Specify complete date.
Claudius_Salmasius -> bornOnDate -> 1588-##-##,Incomplete date,Specify complete date.
Silkk_The_Shocker -> bornOnDate -> 1975-##-##,Incomplete date,Specify complete date.
Lee_Chang-ho -> bornOnDate -> 1975-##-##,Incomplete date,Specify complete date.
1. John_Cacavas -> actedIn -> Airport_1975,Not an actor,Correct entity relation or subject.
Merle_Oberon -> actedIn -> The_Private_Life_of_Don_Juan,Historical inaccuracy,Verify historical records
Ving_Rhames -> actedIn -> Day_of_the_Dead_(2008_film),Future event reference,Adjust date or source
Porcia_Catonis -> bornOnDate -> 70-##-##,Ambiguous historical data,Research historical records
Pan_(Dragon_Ball) -> bornOnDate -> 779-##-##,Fictional character can't have real date,Use fictional timeline.
Prince_Narinaga -> bornOnDate -> 1326-##-##,Incomplete date,Provide full date.
Juan_Antonio_Flecha -> bornOnDate -> 1977-##-##,Incomplete date,Provide full date.
Anselm_of_Canterbury -> bornOnDate -> 1033-##-##,Incomplete date,Provide full date.
Corinna -> bornOnDate -> 5##-##-##,Invalid year format,Provide full date.
Emperor_Kōnin -> bornOnDate -> 709-##-##,Incomplete date,Provide full date.
Stefan_Uroš_V_of_Serbia -> bornOnDate -> 1336-##-##,Incomplete date,Provide full date.
Sallust -> bornOnDate -> 86-##-##,Incomplete date,Provide full date.
Lost_Generation -> bornOnDate -> 189#-##-##,Invalid date format,Correct to a valid date
Hedvig_Sophia_of_Sweden -> bornOnDate -> 1681-##-##,Incomplete date,Provide full date
Joacim_Cans -> bornOnDate -> 1970-##-##,Incomplete date,Provide full date
Eiichiro_Oda -> bornOnDate -> 1975-##-##,Incomplete date,Provide full date
Moise_Tshombe -> bornOnDate -> 1919-##-##,Incomplete date,Provide full date
Tom_Brady -> bornOnDate -> 1977-##-##,Incomplete date,Provide full date
Kimmo_Lehtonen -> bornOnDate -> 1967-##-##,Incomplete date,Provide full date
- Vince_Carter -> bornOnDate -> 1977-##-##,Missing day in date,Include specific day.
- Tor_Nørretranders -> bornOnDate -> 1955-##-##,Missing day in date,Include specific day.
- Kenny_Dalglish -> bornOnDate -> 1951-##-##,Missing day in date,Include specific day.
- Li_Bai -> bornOnDate -> 701-##-##,Missing month and day,Include specific month and day.
- Kerri_Strug -> bornOnDate -> 1977-##-##,Missing day in date,Include specific day.
- Louis_de_Saint-Just -> bornOnDate -> 1767-##-##,Missing month and day,Include specific month and day.
- Sibylla_of_Jerusalem -> bornOnDate -> 1160-##-##,Missing month and day,Include specific month and day.
Olof_Skötkonung -> bornOnDate -> 980-##-##,Incomplete date value,Specify complete date.
Saeed_Hajjarian -> bornOnDate -> 1954-##-##,Incomplete date value,Specify complete date.
Zaha_Hadid -> bornOnDate -> 1950-##-##,Incomplete date value,Specify complete date.
Kali_Mountford -> bornOnDate -> 1954-##-##,Incomplete date value,Specify complete date.
Jacopo_Peri -> bornOnDate -> 1561-##-##,Incomplete date value,Specify complete date.
Gentile_da_Fabriano -> bornOnDate -> 137#-##-##,Invalid character in date,Replace '#' with digit.
Murad_V -> bornOnDate -> 1840-##-##,Incomplete date value,Specify complete date.
Catriona_Le_May_Doan -> bornOnDate -> 1970-##-##,Incomplete date value,Specify complete date.
Basil_Valentine -> bornOnDate -> 1394-##-##,Incomplete date value,Specify complete date.
David_Brian -> actedIn -> Inside_the_Walls_of_Folsom_Prison,Unlikely event for actor,Verify film participation
Big_Foot -> bornOnDate -> 182#-##-##,Incomplete date format,Specify exact birth year
1. Claudine_Guérin_de_Tencin -> bornOnDate -> 1682-##-##,Incomplete date format,Provide full birth date.
2. Idrissa_Seck -> bornOnDate -> 1959-##-##,Incomplete date format,Provide full birth date.
3. Stockwell_Day -> bornOnDate -> 1950-##-##,Incomplete date format,Provide full birth date.
4. Francine_Jordi -> bornOnDate -> 1977-##-##,Incomplete date format,Provide full birth date.
5. Peter_Lynds -> bornOnDate -> 1975-##-##,Incomplete date format,Provide full birth date.
6. Commodus -> bornOnDate -> 161-##-##,Incomplete date format,Provide full birth date.
7. Alfons_Karpiński -> bornOnDate -> 1875-##-##,Incomplete date format,Provide full birth date.
1. Triple: Scarface_Charley -> bornOnDate -> 1851-##-##,Why it's anomaly: Incomplete date,Suggestion: Provide complete birthdate.
2. Triple: Murdo_MacKenzie -> bornOnDate -> 1850-##-##,Why it's anomaly: Incomplete date,Suggestion: Provide complete birthdate.
3. Triple: Leila_Pahlavi -> bornOnDate -> 1970-##-##,Why it's anomaly: Incomplete date,Suggestion: Provide complete birthdate.
4. Triple: Éamon_Ó_Cuív -> bornOnDate -> 1950-##-##,Why it's anomaly: Incomplete date,Suggestion: Provide complete birthdate.
5. Triple: Marmaduke_Pickthall -> bornOnDate -> 1875-##-##,Why it's anomaly: Incomplete date,Suggestion: Provide complete birthdate.
Lucy_Terry -> bornOnDate -> 1730-##-##,Missing day in date,Use estimated day or approximate
Vasco_da_Gama -> bornOnDate -> 1460-##-##,Missing month and day in date,Use estimated month/day or approximate
Ulf_Merbold -> bornOnDate -> 1941-##-##,Missing month and day in date,Use estimated month/day or approximate
Ludolph_van_Ceulen -> bornOnDate -> 1540-##-##,Missing month and day in date,Use estimated month/day or approximate
Bourvil -> bornOnDate -> 1917-##-##,Missing month and day in date,Use estimated month/day or approximate
Corinna_May -> bornOnDate -> 1970-##-##,Missing month and day in date,Use estimated month/day or approximate
Dagfinn_Høybråten -> bornOnDate -> 1957-##-##,Missing month and day in date,Use estimated month/day or approximate
Surya_Bonaly -> bornOnDate -> 1973-##-##,Missing month and day in date,Use estimated month/day or approximate
Renate_Groenewold -> bornOnDate -> 1976-##-##,Missing month and day in date,Use estimated month/day or approximate
